Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Order ID
1,2024-09-01 11:08:00,Regular,Noods,Mac and Cheese,1-1
1,2024-09-01 11:08:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-1
1,2024-09-01 11:08:00,Brisket,Choose Your Meats,Mac and Cheese,1-1
1,2024-09-01 11:08:00,Broccoli,Choose Your Toppings,Mac and Cheese,1-1
1,2024-09-01 11:08:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-1
1,2024-09-01 11:08:00,Garlic Parmesan,Choose Your Drizzles,Mac and Cheese,1-1
1,2024-09-01 11:08:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-1
1,2024-09-01 11:08:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-1
4,2024-09-01 11:08:00,Regular,Noods,Mac and Cheese,1-4
4,2024-09-01 11:08:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-4
4,2024-09-01 11:08:00,Bacon,Choose Your Meats,Mac and Cheese,1-4
4,2024-09-01 11:08:00,Corn,Choose Your Toppings,Mac and Cheese,1-4
4,2024-09-01 11:08:00,No Drizzle,Choose Your Drizzles,Mac and Cheese,1-4
4,2024-09-01 11:08:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-4
4,2024-09-01 11:08:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-4
3,2024-09-01 11:09:00,Regular,Noods,Mac and Cheese,1-3
3,2024-09-01 11:09:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-3
3,2024-09-01 11:09:00,Grilled Chicken,Choose Your Meats,Mac and Cheese,1-3
3,2024-09-01 11:09:00,Corn,Choose Your Toppings,Mac and Cheese,1-3
3,2024-09-01 11:09:00,No Drizzle,Choose Your Drizzles,Mac and Cheese,1-3
3,2024-09-01 11:09:00,No Side,Choose Your Side,Mac and Cheese,1-3
3,2024-09-01 11:09:00,Water,Choose Your Drink,Mac and Cheese,1-3
6,2024-09-01 11:10:00,Melted Cheddar,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-6
6,2024-09-01 11:10:00,No Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-6
6,2024-09-01 11:10:00,No Meat,Choose Your Meats,Grilled Cheese Sandwich,1-6
6,2024-09-01 11:10:00,Tomatoes,Choose Your Toppings,Grilled Cheese Sandwich,1-6
6,2024-09-01 11:10:00,BBQ,Choose Your Drizzles,Grilled Cheese Sandwich,1-6
6,2024-09-01 11:10:00,Any Bag Of Chips,Choose Your Side,Grilled Cheese Sandwich,1-6
6,2024-09-01 11:10:00,Unlimited Fountain Drinks,Choose Your Drink,Grilled Cheese Sandwich,1-6
7,2024-09-01 11:17:00,Regular,Noods,Mac and Cheese,1-7
7,2024-09-01 11:17:00,Cheddar,Mix Bases,MIX,1-7
7,2024-09-01 11:17:00,Pepper Jack,Mix Bases,MIX,1-7
