Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Order ID
18,2024-04-13 11:34:00,Regular,Noods,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Cheddar,Choose Your Cheese,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Pulled Pork,Choose Your Meats,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Broccoli,Choose Your Toppings,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Tomatoes,Choose Your Toppings,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,13-18
18,2024-04-13 11:34:00,BBQ,Choose Your Drizzles,Mac and Cheese,13-18
18,2024-04-13 11:34:00,No Side,Choose Your Side,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Water,Choose Your Drink,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Regular,Noods,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Pepper Jack,Choose Your Cheese,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Brisket,Choose Your Meats,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Broccoli,Choose Your Toppings,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Corn,Choose Your Toppings,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Mushrooms,Choose Your Toppings,Mac and Cheese,13-18
18,2024-04-13 11:34:00,Parmesan,Choose Your Toppings,Mac and Cheese,13-18
18,2024-04-13 11:34:00,BBQ,Choose Your Drizzles,Mac and Cheese,13-18
18,2024-04-13 11:34:00,No Side,Choose Your Side,Mac and Cheese,13-18
18,2024-04-13 11:34:00,No Drink,Choose Your Drink,Mac and Cheese,13-18
17,2024-04-13 11:36:00,Regular,Noods,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Alfredo,Choose Your Cheese,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Brisket,Choose Your Meats,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Corn,Choose Your Toppings,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Jalapenos,Choose Your Toppings,Mac and Cheese,13-17
17,2024-04-13 11:36:00,BBQ,Choose Your Drizzles,Mac and Cheese,13-17
17,2024-04-13 11:36:00,No Side,Choose Your Side,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Regular,Noods,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Cheddar,Choose Your Cheese,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Brisket,Choose Your Meats,Mac and Cheese,13-17
17,2024-04-13 11:36:00,No Toppings,Choose Your Toppings,Mac and Cheese,13-17
17,2024-04-13 11:36:00,BBQ,Choose Your Drizzles,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Cheesy Broccoli,Choose Your Side,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Regular,Noods,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Cheddar,Choose Your Cheese,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Brisket,Choose Your Meats,Mac and Cheese,13-17
17,2024-04-13 11:36:00,No Toppings,Choose Your Toppings,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,13-17
17,2024-04-13 11:36:00,BBQ,Choose Your Drizzles,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,13-17
17,2024-04-13 11:36:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,13-17
22,2024-04-13 11:37:00,Regular,Noods,Mac and Cheese,13-22
22,2024-04-13 11:37:00,Cheddar,Choose Your Cheese,Mac and Cheese,13-22
22,2024-04-13 11:37:00,Brisket,Choose Your Meats,Mac and Cheese,13-22
22,2024-04-13 11:37:00,No Toppings,Choose Your Toppings,Mac and Cheese,13-22
22,2024-04-13 11:37:00,BBQ,Choose Your Drizzles,Mac and Cheese,13-22
22,2024-04-13 11:37:00,No Side,Choose Your Side,Mac and Cheese,13-22
22,2024-04-13 11:37:00,No Drink,Choose Your Drink,Mac and Cheese,13-22
21,2024-04-13 11:37:00,Regular,Noods,Mac and Cheese,13-21
21,2024-04-13 11:37:00,Cheddar,Choose Your Cheese,Mac and Cheese,13-21
21,2024-04-13 11:37:00,No Meat,Choose Your Meats,Mac and Cheese,13-21
21,2024-04-13 11:37:00,No Toppings,Choose Your Toppings,Mac and Cheese,13-21
21,2024-04-13 11:37:00,No Drizzle,Choose Your Drizzles,Mac and Cheese,13-21
21,2024-04-13 11:37:00,No Side,Choose Your Side,Mac and Cheese,13-21
21,2024-04-13 11:37:00,No Drink,Choose Your Drink,Mac and Cheese,13-21
17,2024-04-13 11:38:00,Brisket,Choose Your Meats,Grilled Cheese Sandwich,13-17
