Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Order ID
1,2024-08-01 10:41:00,Regular,Noods,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Alfredo,Choose Your Cheese,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Ham,Choose Your Meats,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Ranch,Choose Your Drizzles,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Garlic Bread,Choose Your Side,Mac and Cheese,1-1
1,2024-08-01 10:41:00,No Drink,Choose Your Drink,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Please do not bake this one. Ranch on the side.,,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Regular,Noods,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Pepper Jack,Choose Your Cheese,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Pulled Pork,Choose Your Meats,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Onions,Choose Your Toppings,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-1
1,2024-08-01 10:41:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-1
1,2024-08-01 10:41:00,Garlic Bread,Choose Your Side,Mac and Cheese,1-1
1,2024-08-01 10:41:00,No Drink,Choose Your Drink,Mac and Cheese,1-1
3,2024-08-01 11:19:00,Regular,Noods,Mac and Cheese,1-3
3,2024-08-01 11:19:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-3
3,2024-08-01 11:19:00,Pulled Pork,Choose Your Meats,Mac and Cheese,1-3
3,2024-08-01 11:19:00,Corn,Choose Your Toppings,Mac and Cheese,1-3
3,2024-08-01 11:19:00,Onions,Choose Your Toppings,Mac and Cheese,1-3
3,2024-08-01 11:19:00,Tomatoes,Choose Your Toppings,Mac and Cheese,1-3
3,2024-08-01 11:19:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-3
3,2024-08-01 11:19:00,No Side,Choose Your Side,Mac and Cheese,1-3
3,2024-08-01 11:19:00,Water,Choose Your Drink,Mac and Cheese,1-3
5,2024-08-01 11:19:00,Regular,Noods,Mac and Cheese,1-5
5,2024-08-01 11:19:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-5
5,2024-08-01 11:19:00,Brisket,Choose Your Meats,Mac and Cheese,1-5
5,2024-08-01 11:19:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-5
5,2024-08-01 11:19:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-5
5,2024-08-01 11:19:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-5
5,2024-08-01 11:19:00,Garlic Bread,Choose Your Side,Mac and Cheese,1-5
5,2024-08-01 11:19:00,No Drink,Choose Your Drink,Mac and Cheese,1-5
4,2024-08-01 11:20:00,Regular,Noods,Mac and Cheese,1-4
4,2024-08-01 11:20:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-4
4,2024-08-01 11:20:00,Brisket,Choose Your Meats,Mac and Cheese,1-4
4,2024-08-01 11:20:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-4
4,2024-08-01 11:20:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-4
4,2024-08-01 11:20:00,No Side,Choose Your Side,Mac and Cheese,1-4
4,2024-08-01 11:20:00,No Drink,Choose Your Drink,Mac and Cheese,1-4
6,2024-08-01 11:20:00,Regular,Noods,Mac and Cheese,1-6
6,2024-08-01 11:20:00,Cheddar,Mix Bases,MIX,1-6
6,2024-08-01 11:20:00,Pepper Jack,Mix Bases,MIX,1-6
6,2024-08-01 11:20:00,MIX,Choose Your Cheese,Mac and Cheese,1-6
6,2024-08-01 11:20:00,Pulled Pork,Choose Your Meats,Mac and Cheese,1-6
6,2024-08-01 11:20:00,Jalapenos,Choose Your Toppings,Mac and Cheese,1-6
6,2024-08-01 11:20:00,Pineapple,Choose Your Toppings,Mac and Cheese,1-6
6,2024-08-01 11:20:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-6
6,2024-08-01 11:20:00,Hot Honey,Choose Your Drizzles,Mac and Cheese,1-6
6,2024-08-01 11:20:00,No Side,Choose Your Side,Mac and Cheese,1-6
6,2024-08-01 11:20:00,No Drink,Choose Your Drink,Mac and Cheese,1-6
7,2024-08-01 11:21:00,Regular,Noods,Mac and Cheese,1-7
7,2024-08-01 11:21:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-7
7,2024-08-01 11:21:00,Bacon,Choose Your Meats,Mac and Cheese,1-7
7,2024-08-01 11:21:00,Onions,Choose Your Toppings,Mac and Cheese,1-7
7,2024-08-01 11:21:00,No Drizzle,Choose Your Drizzles,Mac and Cheese,1-7
7,2024-08-01 11:21:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-7
7,2024-08-01 11:21:00,No Drink,Choose Your Drink,Mac and Cheese,1-7
8,2024-08-01 11:24:00,Melted Cheddar,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,Cheddar Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,Pulled Pork,Choose Your Meats,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,Parmesan,Choose Your Toppings,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,BBQ,Choose Your Drizzles,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,Cheesy Garlic Bread,Choose Your Side,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,No Drink,Choose Your Drink,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,I DO NOT NEED UTENSILS (Save waste!),Utensils?,Grilled Cheese Sandwich,1-8
8,2024-08-01 11:24:00,Cheesy Garlic Bread,Choose Your Side,Sides/Desserts,1-8
9,2024-08-01 11:32:00,Regular,Noods,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Pepper Jack,Choose Your Cheese,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Brisket,Choose Your Meats,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Corn,Choose Your Toppings,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Onions,Choose Your Toppings,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Tomatoes,Choose Your Toppings,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Pineapple,Choose Your Toppings,Mac and Cheese,1-9
9,2024-08-01 11:32:00,Hot Honey,Choose Your Drizzles,Mac and Cheese,1-9
9,2024-08-01 11:32:00,No Side,Choose Your Side,Mac and Cheese,1-9
9,2024-08-01 11:32:00,No Drink,Choose Your Drink,Mac and Cheese,1-9
10,2024-08-01 11:37:00,Regular,Noods,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Cheddar,Mix Bases,MIX,1-10
10,2024-08-01 11:37:00,Pepper Jack,Mix Bases,MIX,1-10
10,2024-08-01 11:37:00,MIX,Choose Your Cheese,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Brisket,Choose Your Meats,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Broccoli,Choose Your Toppings,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Corn,Choose Your Toppings,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Jalapenos,Choose Your Toppings,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Mushrooms,Choose Your Toppings,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-10
10,2024-08-01 11:37:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-10
10,2024-08-01 11:37:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-10
10,2024-08-01 11:37:00,No Side,Choose Your Side,Mac and Cheese,1-10
10,2024-08-01 11:37:00,No Drink,Choose Your Drink,Mac and Cheese,1-10
11,2024-08-01 12:08:00,Regular,Noods,Mac and Cheese,1-11
11,2024-08-01 12:08:00,Cheddar,Mix Bases,MIX,1-11
11,2024-08-01 12:08:00,Pepper Jack,Mix Bases,MIX,1-11
11,2024-08-01 12:08:00,MIX,Choose Your Cheese,Mac and Cheese,1-11
11,2024-08-01 12:08:00,Bacon,Choose Your Meats,Mac and Cheese,1-11
11,2024-08-01 12:08:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-11
11,2024-08-01 12:08:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-11
11,2024-08-01 12:08:00,Garlic Parmesan,Choose Your Drizzles,Mac and Cheese,1-11
11,2024-08-01 12:08:00,No Side,Choose Your Side,Mac and Cheese,1-11
11,2024-08-01 12:08:00,No Drink,Choose Your Drink,Mac and Cheese,1-11
12,2024-08-01 12:12:00,Regular,Noods,Mac and Cheese,1-12
12,2024-08-01 12:12:00,Pepper Jack,Choose Your Cheese,Mac and Cheese,1-12
12,2024-08-01 12:12:00,Brisket,Choose Your Meats,Mac and Cheese,1-12
12,2024-08-01 12:12:00,Onions,Choose Your Toppings,Mac and Cheese,1-12
