Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Order ID
3,2024-06-01 11:05:00,Regular,Noods,Mac and Cheese,1-3
3,2024-06-01 11:05:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-3
3,2024-06-01 11:05:00,No Meat,Choose Your Meats,Mac and Cheese,1-3
3,2024-06-01 11:05:00,Corn,Choose Your Toppings,Mac and Cheese,1-3
3,2024-06-01 11:05:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-3
3,2024-06-01 11:05:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-3
3,2024-06-01 11:05:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-3
3,2024-06-01 11:05:00,Garlic Parmesan,Choose Your Drizzles,Mac and Cheese,1-3
3,2024-06-01 11:05:00,Hot Honey,Choose Your Drizzles,Mac and Cheese,1-3
3,2024-06-01 11:05:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-3
3,2024-06-01 11:05:00,No Drink,Choose Your Drink,Mac and Cheese,1-3
6,2024-06-01 11:25:00,Regular,Noods,Mac and Cheese,1-6
6,2024-06-01 11:25:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-6
6,2024-06-01 11:25:00,Brisket,Choose Your Meats,Mac and Cheese,1-6
6,2024-06-01 11:25:00,Onions,Choose Your Toppings,Mac and Cheese,1-6
6,2024-06-01 11:25:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-6
6,2024-06-01 11:25:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-6
6,2024-06-01 11:25:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-6
6,2024-06-01 11:25:00,No Side,Choose Your Side,Mac and Cheese,1-6
6,2024-06-01 11:25:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-6
5,2024-06-01 11:25:00,Melted Parmesan,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-5
5,2024-06-01 11:25:00,Alfredo Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-5
5,2024-06-01 11:25:00,Grilled Chicken,Choose Your Meats,Grilled Cheese Sandwich,1-5
5,2024-06-01 11:25:00,Mushrooms,Choose Your Toppings,Grilled Cheese Sandwich,1-5
5,2024-06-01 11:25:00,No Drizzle,Choose Your Drizzles,Grilled Cheese Sandwich,1-5
5,2024-06-01 11:25:00,No Side,Choose Your Side,Grilled Cheese Sandwich,1-5
5,2024-06-01 11:25:00,No Drink,Choose Your Drink,Grilled Cheese Sandwich,1-5
5,2024-06-01 11:25:00,Regular,Noods,Mac and Cheese,1-5
5,2024-06-01 11:25:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-5
5,2024-06-01 11:25:00,Brisket,Choose Your Meats,Mac and Cheese,1-5
5,2024-06-01 11:25:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-5
5,2024-06-01 11:25:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-5
5,2024-06-01 11:25:00,Garlic Parmesan,Choose Your Drizzles,Mac and Cheese,1-5
5,2024-06-01 11:25:00,No Side,Choose Your Side,Mac and Cheese,1-5
5,2024-06-01 11:25:00,No Drink,Choose Your Drink,Mac and Cheese,1-5
7,2024-06-01 11:32:00,Regular,Noods,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Pulled Pork,Choose Your Meats,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Bacon,Choose Your Meats,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Onions,Choose Your Toppings,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Garlic Parmesan,Choose Your Drizzles,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Pesto,Choose Your Drizzles,Mac and Cheese,1-7
7,2024-06-01 11:32:00,No Side,Choose Your Side,Mac and Cheese,1-7
7,2024-06-01 11:32:00,No Drink,Choose Your Drink,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Regular,Noods,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Brisket,Choose Your Meats,Mac and Cheese,1-7
7,2024-06-01 11:32:00,Bacon,Choose Your Meats,Mac and Cheese,1-7
7,2024-06-01 11:32:00,No Toppings,Choose Your Toppings,Mac and Cheese,1-7
7,2024-06-01 11:32:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-7
7,2024-06-01 11:32:00,No Side,Choose Your Side,Mac and Cheese,1-7
7,2024-06-01 11:32:00,No Drink,Choose Your Drink,Mac and Cheese,1-7
8,2024-06-01 11:39:00,Regular,Noods,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Pepper Jack,Choose Your Cheese,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Grilled Chicken,Choose Your Meats,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Ranch,Choose Your Drizzles,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Regular,Noods,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Brisket,Choose Your Meats,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-8
8,2024-06-01 11:39:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Garlic Bread,Choose Your Side,Mac and Cheese,1-8
8,2024-06-01 11:39:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-8
9,2024-06-01 11:46:00,Melted Cheddar,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,No Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,Bacon,Choose Your Meats,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,Onions,Choose Your Toppings,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,Bell Peppers,Choose Your Toppings,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,Mushrooms,Choose Your Toppings,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,Hot Honey,Choose Your Drizzles,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,No Side,Choose Your Side,Grilled Cheese Sandwich,1-9
9,2024-06-01 11:46:00,Unlimited Fountain Drinks,Choose Your Drink,Grilled Cheese Sandwich,1-9
10,2024-06-01 11:52:00,Regular,Noods,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Alfredo,Choose Your Cheese,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Brisket,Choose Your Meats,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Broccoli,Choose Your Toppings,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Onions,Choose Your Toppings,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Pineapple,Choose Your Toppings,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-10
10,2024-06-01 11:52:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-10
10,2024-06-01 11:52:00,Hot Honey,Choose Your Drizzles,Mac and Cheese,1-10
10,2024-06-01 11:52:00,No Side,Choose Your Side,Mac and Cheese,1-10
10,2024-06-01 11:52:00,No Drink,Choose Your Drink,Mac and Cheese,1-10
11,2024-06-01 11:57:00,Cheesecake,Choose Your Side,Sides/Desserts,1-11
15,2024-06-01 12:07:00,Regular,Noods,Mac and Cheese,1-15
15,2024-06-01 12:07:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-15
15,2024-06-01 12:07:00,No Meat,Choose Your Meats,Mac and Cheese,1-15
15,2024-06-01 12:07:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-15
15,2024-06-01 12:07:00,Garlic Parmesan,Choose Your Drizzles,Mac and Cheese,1-15
15,2024-06-01 12:07:00,Garlic Bread,Choose Your Side,Mac and Cheese,1-15
15,2024-06-01 12:07:00,Water,Choose Your Drink,Mac and Cheese,1-15
15,2024-06-01 12:07:00,Melted Cheddar,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-15
15,2024-06-01 12:07:00,Cheddar Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-15
15,2024-06-01 12:07:00,Brisket,Choose Your Meats,Grilled Cheese Sandwich,1-15
15,2024-06-01 12:07:00,No Toppings,Choose Your Toppings,Grilled Cheese Sandwich,1-15
15,2024-06-01 12:07:00,Buffalo,Choose Your Drizzles,Grilled Cheese Sandwich,1-15
15,2024-06-01 12:07:00,No Side,Choose Your Side,Grilled Cheese Sandwich,1-15
15,2024-06-01 12:07:00,Dr. Pepper,Choose Your Drink,Grilled Cheese Sandwich,1-15
14,2024-06-01 12:12:00,Regular,Noods,Mac and Cheese,1-14
14,2024-06-01 12:12:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-14
14,2024-06-01 12:12:00,Bacon,Choose Your Meats,Mac and Cheese,1-14
14,2024-06-01 12:12:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-14
14,2024-06-01 12:12:00,No Drizzle,Choose Your Drizzles,Mac and Cheese,1-14
14,2024-06-01 12:12:00,No Side,Choose Your Side,Mac and Cheese,1-14
14,2024-06-01 12:12:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-14
14,2024-06-01 12:12:00,Melted Cheddar,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-14
14,2024-06-01 12:12:00,No Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-14
14,2024-06-01 12:12:00,Bacon,Choose Your Meats,Grilled Cheese Sandwich,1-14
14,2024-06-01 12:12:00,No Toppings,Choose Your Toppings,Grilled Cheese Sandwich,1-14
14,2024-06-01 12:12:00,No Drizzle,Choose Your Drizzles,Grilled Cheese Sandwich,1-14
14,2024-06-01 12:12:00,No Side,Choose Your Side,Grilled Cheese Sandwich,1-14
