Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Order ID
3,2024-07-01 11:08:00,Regular,Noods,Mac and Cheese,1-3
3,2024-07-01 11:08:00,Alfredo,Choose Your Cheese,Mac and Cheese,1-3
3,2024-07-01 11:08:00,Grilled Chicken,Choose Your Meats,Mac and Cheese,1-3
3,2024-07-01 11:08:00,Broccoli,Choose Your Toppings,Mac and Cheese,1-3
3,2024-07-01 11:08:00,Onions,Choose Your Toppings,Mac and Cheese,1-3
3,2024-07-01 11:08:00,Jalapenos,Choose Your Toppings,Mac and Cheese,1-3
3,2024-07-01 11:08:00,Tomatoes,Choose Your Toppings,Mac and Cheese,1-3
3,2024-07-01 11:08:00,Pesto,Choose Your Drizzles,Mac and Cheese,1-3
3,2024-07-01 11:08:00,No Side,Choose Your Side,Mac and Cheese,1-3
3,2024-07-01 11:08:00,No Drink,Choose Your Drink,Mac and Cheese,1-3
1,2024-07-01 11:07:00,Regular,Noods,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Grilled Chicken,Choose Your Meats,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Broccoli,Choose Your Toppings,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Corn,Choose Your Toppings,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Onions,Choose Your Toppings,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Tomatoes,Choose Your Toppings,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-1
1,2024-07-01 11:07:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Cheesecake,Choose Your Side,Mac and Cheese,1-1
1,2024-07-01 11:07:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-1
4,2024-07-01 11:28:00,Regular,Noods,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Pepper Jack,Choose Your Cheese,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Pulled Pork,Choose Your Meats,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Brisket,Choose Your Meats,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Onions,Choose Your Toppings,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Jalapenos,Choose Your Toppings,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Mushrooms,Choose Your Toppings,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Ranch,Choose Your Drizzles,Mac and Cheese,1-4
4,2024-07-01 11:28:00,No Side,Choose Your Side,Mac and Cheese,1-4
4,2024-07-01 11:28:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-4
5,2024-07-01 11:35:00,Regular,Noods,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Alfredo,Choose Your Cheese,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Brisket,Choose Your Meats,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Corn,Choose Your Toppings,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Hot Honey,Choose Your Drizzles,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-5
5,2024-07-01 11:35:00,Water,Choose Your Drink,Mac and Cheese,1-5
6,2024-07-01 11:35:00,Melted Cheddar,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-6
6,2024-07-01 11:35:00,No Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-6
6,2024-07-01 11:35:00,No Meat,Choose Your Meats,Grilled Cheese Sandwich,1-6
6,2024-07-01 11:35:00,Tomatoes,Choose Your Toppings,Grilled Cheese Sandwich,1-6
6,2024-07-01 11:35:00,No Drizzle,Choose Your Drizzles,Grilled Cheese Sandwich,1-6
6,2024-07-01 11:35:00,Cheesy Garlic Bread,Choose Your Side,Grilled Cheese Sandwich,1-6
6,2024-07-01 11:35:00,Sprite,Choose Your Drink,Grilled Cheese Sandwich,1-6
8,2024-07-01 11:36:00,Regular,Noods,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Pepper Jack,Choose Your Cheese,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Grilled Chicken,Choose Your Meats,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Broccoli,Choose Your Toppings,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Corn,Choose Your Toppings,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Onions,Choose Your Toppings,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Jalapenos,Choose Your Toppings,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Tomatoes,Choose Your Toppings,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Buffalo,Choose Your Drizzles,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-8
8,2024-07-01 11:36:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-8
7,2024-07-01 11:37:00,Regular,Noods,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Grilled Chicken,Choose Your Meats,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Broccoli,Choose Your Toppings,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Corn,Choose Your Toppings,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Tomatoes,Choose Your Toppings,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Mushrooms,Choose Your Toppings,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Garlic Parmesan,Choose Your Drizzles,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Ranch,Choose Your Drizzles,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-7
7,2024-07-01 11:37:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-7
10,2024-07-01 11:37:00,Melted Pepper Jack,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,No Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,No Meat,Choose Your Meats,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,Broccoli,Choose Your Toppings,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,Corn,Choose Your Toppings,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,Jalapenos,Choose Your Toppings,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,Tomatoes,Choose Your Toppings,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,Bell Peppers,Choose Your Toppings,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,Pineapple,Choose Your Toppings,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,Parmesan,Choose Your Toppings,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,BBQ,Choose Your Drizzles,Grilled Cheese Sandwich,1-10
10,2024-07-01 11:37:00,No Side,Choose Your Side,Grilled Cheese Sandwich,1-10
