Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Order ID
3,2024-05-01 11:04:00,Melted Cheddar,Choose Your Melted Cheese,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,No Mac,Do you want Mac and Cheese added inside?,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,Brisket,Choose Your Meats,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,Brisket,Choose Your Meats,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,Broccoli,Choose Your Toppings,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,Mushrooms,Choose Your Toppings,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,Ranch,Choose Your Drizzles,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,Cheesy Garlic Bread,Choose Your Side,Grilled Cheese Sandwich,1-3
3,2024-05-01 11:04:00,No Drink,Choose Your Drink,Grilled Cheese Sandwich,1-3
8,2024-05-01 11:31:00,Regular,Noods,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Alfredo,Choose Your Cheese,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Grilled Chicken,Choose Your Meats,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Onions,Choose Your Toppings,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Jalapenos,Choose Your Toppings,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Bell Peppers,Choose Your Toppings,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Mushrooms,Choose Your Toppings,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Buffalo,Choose Your Drizzles,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Ranch,Choose Your Drizzles,Mac and Cheese,1-8
8,2024-05-01 11:31:00,Any Bag Of Chips,Choose Your Side,Mac and Cheese,1-8
8,2024-05-01 11:31:00,No Drink,Choose Your Drink,Mac and Cheese,1-8
9,2024-05-01 11:32:00,Regular,Noods,Mac and Cheese,1-9
9,2024-05-01 11:32:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-9
9,2024-05-01 11:32:00,Brisket,Choose Your Meats,Mac and Cheese,1-9
9,2024-05-01 11:32:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-9
9,2024-05-01 11:32:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-9
9,2024-05-01 11:32:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-9
9,2024-05-01 11:32:00,Cheesecake,Choose Your Side,Mac and Cheese,1-9
9,2024-05-01 11:32:00,Unlimited Fountain Drinks,Choose Your Drink,Mac and Cheese,1-9
