Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Order ID
1,2024-10-01 10:42:00,"Garden Mac (Cheddar, Broccoli, Tomatos, Ranch)",Mac and Cheese Options,Mac and Cheese Party Tray (Plus FREE Garlic Bread),1-1
1,2024-10-01 10:42:00,"Chicken Alfredo (Alfredo, Chicken, Broccoli, Pesto)",Mac and Cheese Options,Mac and Cheese Party Tray (Plus FREE Garlic Bread),1-1
1,2024-10-01 10:42:00,"Texas BBQ (Pepper Jack, Brisket, Jalapenos, BBQ)",Mac and Cheese Options,Mac and Cheese Party Tray (Plus FREE Garlic Bread),1-1
1,2024-10-01 10:42:00,"Chicken Bacon Ranch (Cheddar, Chicken, Bacon, Ranch)",Mac and Cheese Options,Mac and Cheese Party Tray (Plus FREE Garlic Bread),1-1
1,2024-10-01 10:42:00,"Buffalo Chicken (Cheddar, Chicken, Onions, Buffalo)",Mac and Cheese Options,Mac and Cheese Party Tray (Plus FREE Garlic Bread),1-1
1,2024-10-01 10:42:00,"Classic Mac (Cheddar, Breadcrumbs, Garlic Parmesan)",Mac and Cheese Options,Mac and Cheese Party Tray (Plus FREE Garlic Bread),1-1
3,2024-10-01 11:06:00,Regular,Noods,Mac and Cheese,1-3
3,2024-10-01 11:06:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-3
3,2024-10-01 11:06:00,Brisket,Choose Your Meats,Mac and Cheese,1-3
3,2024-10-01 11:06:00,Mushrooms,Choose Your Toppings,Mac and Cheese,1-3
3,2024-10-01 11:06:00,Parmesan,Choose Your Toppings,Mac and Cheese,1-3
3,2024-10-01 11:06:00,Breadcrumbs,Choose Your Toppings,Mac and Cheese,1-3
3,2024-10-01 11:06:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-3
3,2024-10-01 11:06:00,No Side,Choose Your Side,Mac and Cheese,1-3
3,2024-10-01 11:06:00,Cheesy Garlic Bread,Choose Your Side,Mac and Cheese,1-3
3,2024-10-01 11:06:00,No Drink,Choose Your Drink,Mac and Cheese,1-3
4,2024-10-01 11:20:00,Regular,Noods,Mac and Cheese,1-4
4,2024-10-01 11:20:00,Cheddar,Choose Your Cheese,Mac and Cheese,1-4
4,2024-10-01 11:20:00,Brisket,Choose Your Meats,Mac and Cheese,1-4
4,2024-10-01 11:20:00,Mushrooms,Choose Your Toppings,Mac and Cheese,1-4
4,2024-10-01 11:20:00,BBQ,Choose Your Drizzles,Mac and Cheese,1-4
4,2024-10-01 11:20:00,No Side,Choose Your Side,Mac and Cheese,1-4
